date,config,scan_id,count,actionable,actionable_pct,avg_dist_from_entry_pct,median_remaining_rr,avg_remaining_rr,extended_gt10pct,extended_pct,quality_score,recorded_at
2026-06-04,A_current,VAL-SWING-2026-06-04-b061aab3,30,4,13.3,17.7,0.31,0.57,23,76.7,14.4,2026-06-05T01:22:51
2026-06-04,B_anchor10,VAL-SWING-2026-06-04-b061aab3,30,24,80.0,3.7,2.55,2.3,1,3.3,84.8,2026-06-05T01:22:51
