symbol,company_name,avg_turnover_cr,sector
PITTIENG,Pitti Engineering Limited,11.87,
LAOPALA,La Opala RG Limited,11.82,
KPEL,K.P. Energy Limited,11.76,
PGHL,Procter & Gamble Health Limited,11.55,
SULA,Sula Vineyards Limited,11.43,
PAUSHAKLTD,Paushak Limited,11.42,
NACLIND,NACL Industries Limited,11.06,
PARACABLES,Paramount Communications Limited,11.04,
NEPHROPLUS,Nephrocare Health Services Limited,10.99,
SAKAR,Sakar Healthcare Limited,10.91,
TIRUMALCHM,Thirumalai Chemicals Limited,10.83,
MANALIPETC,Manali Petrochemicals Limited,10.49,
SUMEETINDS,Sumeet Industries Limited,10.39,
ZOTA,Zota Health Care LImited,10.31,
PATELENG,Patel Engineering Limited,10.3,
SAKSOFT,Saksoft Limited,10.3,
WONDERLA,Wonderla Holidays Limited,10.25,
POKARNA,Pokarna Limited,10.15,
SURAKSHA,Suraksha Diagnostic Limited,10.1,
SUBEXLTD,Subex Limited,10.02,
PSPPROJECT,PSP Projects Limited,10.0,
MAYURUNIQ,Mayur Uniquoters Ltd,9.81,
PVP,PVP Ventures Limited,9.77,
MAHLOG,Mahindra Logistics Limited,9.56,
SYNCOMF,Syncom Formulations (India) Limited,9.46,
TALBROAUTO,Talbros Automotive Components Limited,9.46,
SPAL,S. P. Apparels Limited,9.29,
MANCREDIT,Mangal Credit and Fincorp Limited,9.25,
SEPC,SEPC Limited,9.25,
TINNARUBR,Tinna Rubber and Infrastructure Limited,8.88,
SUPRAJIT,Suprajit Engineering Limited,8.87,
KROSS,Kross Limited,8.86,
SANOFI,Sanofi India Limited,8.85,
VINATIORGA,Vinati Organics Limited,8.8,
RSYSTEMS,R Systems International Limited,8.72,
SUNFLAG,Sunflag Iron And Steel Company Limited,8.6,
VSSL,Vardhman Special Steels Limited,8.51,
RAJRATAN,Rajratan Global Wire Limited,8.48,
WINDMACHIN,Windsor Machines Limited,8.4,
TVSHLTD,TVS Holdings Limited,8.25,
ORCHPHARMA,Orchid Pharma Limited,7.87,
RACLGEAR,RACL Geartech Limited,7.87,
PRAKASH,Prakash Industries Limited,7.71,
JUBLCPL,Jubilant Agri and Consumer Products Limited,7.55,
ONEPOINT,One Point One Solutions Limited,7.47,
UDS,Updater Services Limited,7.4,
PRINCEPIPE,Prince Pipes And Fittings Limited,7.31,
KIRLFER,Kirloskar Ferrous Industries Limited,7.19,
TCIEXP,TCI Express Limited,7.17,
SAIPARENT,Sai Parenterals Limited,7.14,
JUNIPER,Juniper Hotels Limited,7.12,
PANACEABIO,Panacea Biotec Limited,7.01,
RML,Rane (Madras) Limited,7.01,
VISHNU,Vishnu Chemicals Limited,6.94,
PYRAMID,Pyramid Technoplast Limited,6.8,
SOLARWORLD,Solarworld Energy Solutions Limited,6.76,
MAXESTATES,Max Estates Limited,6.61,
NPST,Network People Services Technologies Limited,6.61,
