symbol,company_name,avg_turnover_cr,sector
SHIVATEX,Shiva Texyarn Limited,0.08,
SHRADHA,Shradha Realty Limited,0.08,
SHREYANIND,Shreyans Industries Limited,0.08,
VIRINCHI,Virinchi Limited,0.08,
XELPMOC,Xelpmoc Design And Tech Limited,0.08,
865IRFC29-NA,,0.08,
KOTHARIPRO,Kothari Products Limited,0.07,
MAGNUM,Magnum Ventures Limited,0.07,
NITIRAJ,Nitiraj Engineers Limited,0.07,
RAJMET,Rajnandini Metal Limited,0.07,
RAJTV,Raj Television Network Limited,0.07,
RSSOFTWARE,R. S. Software (India) Limited,0.07,
RVTH,Revathi Equipment India Limited,0.07,
SURAJLTD,Suraj Limited,0.07,
MANGALAM,Mangalam Drugs And Organics Limited,0.06,
MBLINFRA,MBL Infrastructure Limited,0.06,
MODIRUBBER,Modi Rubber Limited,0.06,
ORCHASP,Orchasp Limited,0.06,
PIONEEREMB,Pioneer Embroideries Limited,0.06,
RELCHEMQ,Reliance Chemotex Industries Limited,0.06,
RHL,Robust Hotels Limited,0.06,
SHBAJRG,Shri Bajrang Alliance Limited,0.06,
THEINVEST,The Investment Trust Of India Limited,0.06,
UNIENTER,Uniphos Enterprises Limited,0.06,
GOLDSTAR-SM,,0.06,
850NHAI29-N5,,0.06,
GAYAHWS,Gayatri Highways Limited,0.05,
KANCHI,Kanchi Karpooram Limited,0.05,
KSR,KSR Footwear Limited,0.05,
LAXMICOT,Laxmi Cotspin Limited,0.05,
MURUDCERA,Murudeshwar Ceramics Limited,0.05,
PILITA,PIL ITALICA LIFESTYLE LIMITED,0.05,
RADIOCITY,Music Broadcast Limited,0.05,
SMLT,Sarthak Metals Limited,0.05,
TGBHOTELS,TGB Banquets And Hotels Limited,0.05,
USK,Udayshivakumar Infra Limited,0.05,
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,0.04,
KEYFINSERV,Keynote Financial Services Limited,0.04,
LFIC,Lakshmi Finance & Industrial Corporation Limited,0.04,
MITTAL,Mittal Life Style Limited,0.04,
MKPL,M K Proteins Limited,0.04,
PRAKASHSTL,Prakash Steelage Limited,0.04,
RRIL,RRIL Limited,0.04,
RVHL,Ravinder Heights Limited,0.04,
SAMPANN,Sampann Utpadan India Limited,0.04,
SAPPL,Shree Ajit Pulp & Paper Limited,0.04,
SBGLP,Suratwwala Business Group Limited,0.04,
TECILCHEM,TECIL Chemicals and Hydro Power Limited,0.04,
WIPL,The Western India Plywoods Limited,0.04,
ZENITHSTL,Zenith Steel Pipes & Industries Limited,0.04,
667GS2050-GS,,0.04,
893NHB29-N6,,0.04,
AGRITECH,Agri-Tech (India) Limited,0.03,
GRANDOAK,Grand Oak Canyons Distillery Limited,0.03,
KARMAENG,Karma Energy Limited,0.03,
KIRANVYPAR,Kiran Vyapar Limited,0.03,
KREBSBIO,Krebs Biochemicals and Industries Limited,0.03,
LAHOTIOV,Lahoti Overseas Limited,0.03,
LCCINFOTEC,LCC Infotech Limited,0.03,
LIBAS,Libas Consumer Products Limited,0.03,
LOYALTEX,Loyal Textile Mills Limited,0.03,
ORIENTALTL,Oriental Trimex Limited,0.03,
ORTINGLOBE,ORTIN GLOBAL LIMITED,0.03,
QUINT,Quint Digital Limited,0.03,
SECMARK,SecMark Consultancy Limited,0.03,
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,0.03,
SHANTI,Shanti Overseas (India) Limited,0.03,
SILLYMONKS,Silly Monks Entertainment Limited,0.03,
ZODIACLOTH,Zodiac Clothing Company Limited,0.03,
94SFL28-YL,,0.03,
880IREDA29-N5,,0.03,
3PLAND,3P Land Holdings Limited,0.02,
BOHRAIND,Bohra Industries Limited,0.02,
GUJRAFFIA,Gujarat Raffia Industries Limited,0.02,
HBESD,HB Estate Developers Limited,0.02,
HEADSUP,Heads UP Ventures Limited,0.02,
KANANIIND,Kanani Industries Limited,0.02,
LEXUS,Lexus Granito (India) Limited,0.02,
MCCHRLS-B,Mac Charles India Limited,0.02,
NEAGI,Neelamalai Agro Industries Limited,0.02,
ODIGMA,Odigma Consultancy Solutions Limited,0.02,
PALASHSECU,Palash Securities Limited,0.02,
PML,Paul Merchants Limited,0.02,
PNC,Pritish Nandy Communications Limited,0.02,
RADAAN,Radaan Mediaworks India Limited,0.02,
RKDL,Ravi Kumar Distilleries Limited,0.02,
RUCHINFRA,Ruchi Infrastructure Limited,0.02,
SAGARDEEP,Sagardeep Alloys Limited,0.02,
SAMBHAAV,Sambhaav Media Limited,0.02,
SEMAC,Semac Construction Limited,0.02,
SHIVAMILLS,Shiva Mills Limited,0.02,
SPLIL,SPL Industries Limited,0.02,
TNTELE,Tamilnadu Telecommunication Limited,0.02,
TOUCHWOOD,Touchwood Entertainment Limited,0.02,
UMESLTD,Usha Martin Education & Solutions Limited,0.02,
PULZ-SM,,0.02,
PARAMPARA-SM,,0.02,
855IREDA34-N3,,0.02,
MHHL-SM,,0.02,
890NHB34-N7,,0.02,
ADL,Archidply Decor Limited,0.01,
ASTAR,Asian Star Company Limited,0.01,
CREATIVEYE,Creative Eye Limited,0.01,
DCMFINSERV,DCM Financial Services Limited,0.01,
GRAVISSHO,Graviss Hospitality Limited,0.01,
INFOMEDIA,Infomedia Press Limited,0.01,
KEEPLEARN,DSJ Keep Learning Limited,0.01,
MADHAV,Madhav Marbles and Granites Limited,0.01,
MERCANTILE,Mercantile Ventures Limited,0.01,
MFML,Mahalaxmi Fabric Mills Limited,0.01,
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,0.01,
NORBTEAEXP,Norben Tea & Exports Limited,0.01,
PEARLPOLY,Pearl Polymers Limited,0.01,
ROML,Raj Oil Mills Limited,0.01,
SAYAJIHOTL,Sayaji Hotels Limited,0.01,
SGL,STL Global Limited,0.01,
SHYAMTEL,Shyam Telecom Limited,0.01,
SVPGLOB,SVP GLOBAL TEXTILES LIMITED,0.01,
TFL,Transwarranty Finance Limited,0.01,
TOKYOPLAST,Tokyo Plast International Limited,0.01,
VIVIDHA,Visagar Polytex Limited,0.01,
WEWIN,WE WIN LIMITED,0.01,
WILLAMAGOR,Williamson Magor & Company Limited,0.01,
SANWARIA-BZ,,0.01,
903SFL28-YI,,0.01,
622GS2035-GS,,0.01,
585GS2030-GS,,0.01,
855IREDA29-N2,,0.01,
880IREDA34-N6,,0.01,
865NHB34-N4,,0.01,
ASHIKA,,0.0,
BLUECHIP,Blue Chip India Limited,0.0,
CIGNITITEC,,0.0,
GSPL,,0.0,
GUJGASLTD,,0.0,
KHANDSE,Khandwala Securities Limited,0.0,
LYPSAGEMS,,0.0,
MAHAPE-RE,,0.0,
MASKINVEST,Mask Investments Limited,0.0,
MIRCELECTR,,0.0,
NEXTMEDIA,Next Mediaworks Limited,0.0,
NIRAJISPAT,Niraj Ispat Industries Limited,0.0,
OMKARCHEM,,0.0,
SANCO,,0.0,
SASTASUNDR,,0.0,
SHRIKRISH,Shri Krishna Devcon Limited,0.0,
UNIINFO,Uniinfo Telecom Services Limited,0.0,
VISASTEEL,,0.0,
WIMPLAST,,0.0,
MILTON-ST,,0.0,
SMVD-ST,,0.0,
AXISBNKETF,,0.0,
VASA-SM,,0.0,
GLOBAL-BE,,0.0,
AKZOINDIA,,0.0,
AURIGROW-BE,,0.0,
CANARABANK,,0.0,
LTIMINDTREE,,0.0,
ZOMATO,,0.0,
MCDOWELL-N,,0.0,
DEEPAKNITRITE,,0.0,
