symbol,company_name,sector,source,note
TENNIND,Tenneco Clean Air India Limited,Auto,nse_official,Automobile and Auto Components
THEJO,Thejo Engineering Limited,Auto,manual,
TIINDIA,Tube Investments of India Limited,Auto,nse_official,Automobile and Auto Components
TMPV,Tata Motors Passenger Vehicles Limited,Auto,nse_official,Automobile and Auto Components
TOLINS,Tolins Tyres Limited,Auto,manual,
TVSHLTD,TVS Holdings Limited,Auto,manual,
TVSMOTOR,TVS Motor Company Limited,Auto,nse_official,Automobile and Auto Components
TVSSRICHAK,TVS Srichakra Limited,Auto,manual,
UCAL,UCAL LIMITED,Auto,provider,Auto Parts
A2ZINFRA,A2Z Infra Engineering Limited,Capital Goods,provider,Industrials
AARON,Aaron Industries Limited,Capital Goods,provider,Industrials
AARTECH,Aartech Solonics Limited,Capital Goods,provider,Electrical Equipment & Parts
AARVI,Aarvi Encon Limited,Capital Goods,provider,Industrials
ABB,ABB India Limited,Capital Goods,nse_official,Capital Goods
ACE,Action Construction Equipment Limited,Capital Goods,nse_official,Capital Goods
ACEINTEG,Ace Integrated Solutions Limited,Capital Goods,provider,Industrials
ADOR,Ador Welding Limited,Capital Goods,provider,Industrials
ADVAIT,Advait Energy Transitions Limited,Capital Goods,provider,Industrials
AEPL,Artemis Electricals and Projects Limited,Capital Goods,provider,Industrials
AEQUS,Aequs Limited,Capital Goods,nse_official,Capital Goods
AEROFLEX,Aeroflex Industries Limited,Capital Goods,provider,Industrials
AFFORDABLE,Affordable Robotic & Automation Limited,Capital Goods,provider,Specialty Industrial Machinery
AHLADA,Ahlada Engineers Limited,Capital Goods,provider,Industrials
AIAENG,AIA Engineering Limited,Capital Goods,nse_official,Capital Goods
AJAXENGG,Ajax Engineering Limited,Capital Goods,provider,Industrials
AKASH,Akash Infra-Projects Limited,Capital Goods,provider,Industrials
AKG,Akg Exim Limited,Capital Goods,provider,Industrials
ALICON,Alicon Castalloy Limited,Capital Goods,provider,Industrials
ALLCARGO,Allcargo Logistics Limited,Capital Goods,provider,Industrials
ALLDIGI,Alldigi Tech Limited,Capital Goods,provider,Industrials
ANUP,The Anup Engineering Limited,Capital Goods,nse_official,Capital Goods
APARINDS,Apar Industries Limited,Capital Goods,nse_official,Capital Goods
APLAPOLLO,APL Apollo Tubes Limited,Capital Goods,nse_official,Capital Goods
APOLLO,Apollo Micro Systems Limited,Capital Goods,nse_official,Capital Goods
APOLLOPIPE,Apollo Pipes Limited,Capital Goods,provider,Industrials
APOLSINHOT,Apollo Sindoori Hotels Limited,Capital Goods,provider,Industrials
ARIS,Arisinfra Solutions Limited,Capital Goods,provider,Industrials
AROGRANITE,Aro Granite Industries Limited,Capital Goods,provider,Industrials
ASHOKLEY,Ashok Leyland Limited,Capital Goods,nse_official,Capital Goods
ASIANTILES,Asian Granito India Limited,Capital Goods,provider,Industrials
ASTRAL,Astral Limited,Capital Goods,nse_official,Capital Goods
