symbol,sector,company_name,owner_label,turnover_cr
RICOAUTO,Auto,Rico Auto Industries Limited,Automobile & Auto Components,40.46
VINCOFE,FMCG,Vintage Coffee And Beverages Limited,FMCG & Food,40.42
SBC,Services,SBC Exports Limited,Logistics & Transportation,40.19
SENORES,Pharma,Senores Pharmaceuticals Limited,Pharmaceuticals & Healthcare,39.9
UFLEX,Forest Materials,UFLEX Limited,Packaging & Paper,38.81
ROSSTECH,Capital Goods,Rossell Techsys Limited,Capital Goods & Industrial Manufacturing,37.74
UNIMECH,Capital Goods,Unimech Aerospace and Manufacturing Limited,Capital Goods & Industrial Manufacturing,36.41
PRECWIRE,Capital Goods,Precision Wires India Limited,Capital Goods & Industrial Manufacturing,36.22
RAYMOND,Textiles,Raymond Limited,Textiles,35.19
KIRIINDUS,Capital Goods,Kiri Industries Limited,Capital Goods & Industrial Manufacturing,34.31
NILKAMAL,Consumer Durables,Nilkamal Limited,Consumer Durables & Appliances,33.8
KMEW,Auto,Knowledge Marine & Engineering Works Limited,Automobile & Auto Components,32.91
SOLARA,Pharma,Solara Active Pharma Sciences Limited,Pharmaceuticals & Healthcare,32.65
TVSSRICHAK,Auto,TVS Srichakra Limited,Automobile & Auto Components,31.79
VADILALIND,Capital Goods,Vadilal Industries Limited,Capital Goods & Industrial Manufacturing,31.64
TARSONS,Pharma,Tarsons Products Limited,Pharmaceuticals & Healthcare,30.31
SUVEN,Pharma,Suven Life Sciences Limited,Pharmaceuticals & Healthcare,29.21
ORISSAMINE,Metal,The Orissa Minerals Development Company Limited,Metals & Mining,29.02
NRBBEARING,Auto,NRB Bearing Limited,Automobile & Auto Components,28.59
STOVEKRAFT,Consumer Durables,Stove Kraft Limited,Consumer Durables & Appliances,28.38
KDDL,Consumer Durables,KDDL Limited,Consumer Durables & Appliances,28.36
VERANDA,IT,Veranda Learning Solutions Limited,Information Technology,28.1
YATRA,Consumer Services,Yatra Online Limited,"Hotels, Travel & Leisure",28.05
SANGHVIMOV,Services,Sanghvi Movers Limited,Logistics & Transportation,27.8
POCL,Chemicals,Pondy Oxides & Chemicals Limited,Chemicals,26.96
KPL,Pharma,Kwality Pharmaceuticals Limited,Pharmaceuticals & Healthcare,26.87
SAMBHV,Metal,Sambhv Steel Tubes Limited,Metals & Mining,25.74
SHK,Chemicals,S H Kelkar and Company Limited,Chemicals,25.67
SGMART,Services,SG Mart Limited,Trading & Distribution,25.16
