trade_id,symbol,direction,entry_time,exit_time,entry,exit_price,sl,target,rr,r_multiple,exit_reason,smc_score,sweep_detected,bos_confirmed,choch_time,smc_breakdown
9,NSE:NIFTY BANK,LONG,2026-02-12T11:25:00,2026-02-12T11:50:00,60758.02,60716.51,60716.51,60841.06,2.0,-1.0,SL,8,True,True,2026-02-12 09:30,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
13,NSE:NIFTY 50,SHORT,2026-02-13T11:15:00,2026-02-13T11:20:00,25567.43,25600.53,25550.87,25600.53,2.0,-1.9988,TP,8,True,True,2026-02-13 10:10,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
10,NSE:NIFTY BANK,SHORT,2026-02-13T12:30:00,2026-02-13T15:00:00,60401.25,60264.7,60507.25,60189.26,2.0,1.2882,EOD,8,True,True,2026-02-13 10:10,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
11,NSE:NIFTY BANK,LONG,2026-02-16T10:25:00,2026-02-16T14:40:00,60399.07,60842.35,60177.44,60842.35,2.0,2.0001,TP,9,True,True,2026-02-16 10:00,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 1, 'volume': 0}"
12,NSE:NIFTY BANK,LONG,2026-02-18T13:30:00,2026-02-18T14:25:00,61298.62,61509.24,61193.32,61509.24,2.0,2.0002,TP,8,True,True,2026-02-18 12:30,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
14,NSE:NIFTY 50,SHORT,2026-02-19T14:55:00,2026-02-19T15:00:00,25541.47,25504.65,25633.49,25357.45,2.0,0.4001,EOD,7,False,True,2026-02-19 14:40,"{'sweep': 1, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
13,NSE:NIFTY BANK,LONG,2026-02-20T11:15:00,2026-02-20T15:00:00,61075.8,61217.1,60929.74,61367.92,2.0,0.9674,EOD,9,True,True,2026-02-20 10:15,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 1, 'volume': 0}"
14,NSE:NIFTY BANK,LONG,2026-02-23T09:35:00,2026-02-23T10:45:00,61325.9,61137.04,61137.04,61703.62,2.0,-1.0,SL,7,False,True,2026-02-23 09:20,"{'sweep': 1, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
15,NSE:NIFTY 50,SHORT,2026-02-23T12:20:00,2026-02-23T12:25:00,25669.62,25667.68,25670.6,25667.68,2.0,1.9796,TP,9,True,True,2026-02-23 10:35,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 1, 'volume': 0}"
16,NSE:NIFTY 50,SHORT,2026-02-27T12:30:00,2026-02-27T12:40:00,25303.47,25279.63,25315.4,25279.63,2.0,1.9983,TP,8,True,True,2026-02-27 09:25,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
15,NSE:NIFTY BANK,SHORT,2026-03-04T11:05:00,2026-03-04T14:05:00,58551.0,58756.58,58756.58,58139.84,2.0,-1.0,SL,8,True,True,2026-03-04 10:00,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
17,NSE:NIFTY 50,LONG,2026-03-04T11:20:00,2026-03-04T14:15:00,24406.47,24573.76,24322.83,24573.76,2.0,2.0001,TP,9,True,True,2026-03-04 10:00,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 1, 'volume': 0}"
