regime,horizon,symbol,sector,setup,setup_bucket,scan_date,entry_date,exit_date,entry,stop_loss,target,exit_price,exit_reason,return_pct,gross_return_pct,confidence,risk_dist_pct,reward_dist_pct,planned_rr
sideways_down 2024-10..2025-01,SWING,NSE:ANUP,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-11-11,2024-11-11,2024-11-24,3412.12,2444.17,3762.29,3760.41,TARGET_HIT,10.01,10.32,53.64,28.37,10.26,0.36
sideways_down 2024-10..2025-01,SWING,NSE:AFFLE,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-11-11,2024-11-11,2024-12-01,1608.9,1400.17,1732.69,1731.82,TARGET_HIT,7.44,7.75,51.74,12.97,7.69,0.59
sideways_down 2024-10..2025-01,SWING,NSE:ALEMBICLTD,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-11-11,2024-11-11,2024-12-03,138.1,111.89,151.69,134.1,TIME_EXIT,-3.1,-2.8,50.87,18.98,9.84,0.52
sideways_down 2024-10..2025-01,SWING,NSE:AADHARHFC,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-11-11,2024-11-11,2024-11-24,436.97,394.68,490.36,394.48,STOP_LOSS,-9.92,-9.63,36.97,9.68,12.22,1.26
sideways_down 2024-10..2025-01,SWING,NSE:ABREL,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-11-11,2024-11-11,2024-11-12,2718.27,2541.52,3588.08,2540.25,STOP_LOSS,-6.75,-6.46,36.66,6.5,32.0,4.92
sideways_down 2024-10..2025-01,SWING,NSE:360ONE,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_CHOCH,CHOCH_reversal,2024-11-24,2024-11-24,2024-12-12,1081.04,959.62,1379.22,1166.04,TIME_EXIT,7.66,7.97,51.47,11.23,27.58,2.46
sideways_down 2024-10..2025-01,SWING,NSE:AJANTPHARM,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_CHOCH,CHOCH_reversal,2024-11-24,2024-11-24,2024-12-12,2943.52,2709.76,3758.12,2774.92,TIME_EXIT,-5.93,-5.63,43.81,7.94,27.67,3.48
sideways_down 2024-10..2025-01,SWING,NSE:ABSLAMC,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-11-24,2024-11-24,2024-12-12,842.29,702.23,1085.79,809.83,TIME_EXIT,-4.05,-3.76,64.4,16.63,28.91,1.74
sideways_down 2024-10..2025-01,SWING,NSE:AMBER,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-11-24,2024-11-24,2024-12-12,6628.31,5660.1,7031.62,5657.27,STOP_LOSS,-14.85,-14.56,50.24,14.61,6.08,0.42
sideways_down 2024-10..2025-01,SWING,NSE:63MOONS,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-11-24,2024-11-24,2024-12-12,598.53,440.83,1010.71,851.37,TIME_EXIT,42.04,42.39,47.75,26.35,68.87,2.61
sideways_down 2024-10..2025-01,SWING,NSE:AFFLE,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-12-03,2024-12-03,2024-12-03,1780.89,1477.75,1814.43,1813.52,TARGET_HIT,1.63,1.93,94.05,17.02,1.88,0.11
sideways_down 2024-10..2025-01,SWING,NSE:AGI,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-12-03,2024-12-03,2024-12-03,1057.6,862.0,1094.16,1093.61,TARGET_HIT,3.21,3.51,89.74,18.49,3.46,0.19
sideways_down 2024-10..2025-01,SWING,NSE:63MOONS,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-12-03,2024-12-03,2024-12-03,709.44,539.9,708.9,708.55,TARGET_HIT,-0.33,-0.03,84.55,23.9,0.08,0.0
sideways_down 2024-10..2025-01,SWING,NSE:AGARIND,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-12-03,2024-12-03,2024-12-23,1219.16,953.93,1472.73,1291.19,TIME_EXIT,5.71,6.01,79.56,21.76,20.8,0.96
sideways_down 2024-10..2025-01,SWING,NSE:AEROFLEX,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-12-03,2024-12-03,2024-12-23,223.79,170.79,234.43,205.07,TIME_EXIT,-8.56,-8.27,72.24,23.68,4.75,0.2
sideways_down 2024-10..2025-01,SWING,NSE:ALEMBICLTD,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-12-12,2024-12-12,2025-01-02,144.85,118.92,160.64,133.29,TIME_EXIT,-8.18,-7.88,67.78,17.9,10.9,0.61
sideways_down 2024-10..2025-01,SWING,NSE:63MOONS,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-12-12,2024-12-12,2025-01-02,835.59,543.81,1769.41,905.33,TIME_EXIT,8.15,8.45,65.29,34.92,111.76,3.2
sideways_down 2024-10..2025-01,SWING,NSE:AGI,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-12-12,2024-12-12,2024-12-12,1175.53,831.24,1144.76,1144.19,TARGET_HIT,-2.87,-2.57,56.24,29.29,2.62,0.09
sideways_down 2024-10..2025-01,SWING,NSE:AIIL,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-12-12,2024-12-12,2024-12-12,377.52,294.87,365.83,365.65,TARGET_HIT,-3.34,-3.05,81.7,21.89,3.1,0.14
sideways_down 2024-10..2025-01,SWING,NSE:360ONE,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-12-12,2024-12-12,2025-01-02,1178.37,978.15,1417.35,1274.68,TIME_EXIT,7.97,8.28,58.44,16.99,20.28,1.19
sideways_down 2024-10..2025-01,SWING,NSE:ABDL,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-12-23,2024-12-23,2025-01-13,404.83,311.1,444.42,389.9,TIME_EXIT,-3.89,-3.59,80.71,23.15,9.78,0.42
sideways_down 2024-10..2025-01,SWING,NSE:AMBER,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-12-23,2024-12-23,2024-12-23,6833.16,5615.52,7409.92,7406.22,TARGET_HIT,8.19,8.49,81.31,17.82,8.44,0.47
sideways_down 2024-10..2025-01,SWING,NSE:ANANTRAJ,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-12-23,2024-12-23,2025-01-13,834.51,651.39,993.79,828.49,TIME_EXIT,-0.92,-0.62,61.0,21.94,19.09,0.87
sideways_down 2024-10..2025-01,SWING,NSE:AFFLE,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-12-23,2024-12-23,2025-01-12,1797.9,1558.98,2475.06,1558.2,STOP_LOSS,-13.53,-13.25,57.2,13.29,37.66,2.83
sideways_down 2024-10..2025-01,SWING,NSE:360ONE,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-12-23,2024-12-23,2025-01-13,1209.9,1058.32,1323.52,1106.98,TIME_EXIT,-8.71,-8.41,53.71,12.53,9.39,0.75
